src,dst,count
ST,N,3438
I,ECK,2816
Z,H,5389
M,BL,2706
M,KR,3319
B,D,10492
Z,V,3630
X,U,3762
Y,K,6378
C,I,36350
G,BL,2297
M,Z,5132
D,V,10530
ECK,CH,1422
PF,O,2538
H,W,3717
I,LT,8885
LT,K,2240
LT,F,2223
W,T,1254
L,KR,2877
X,O,3276
ST,SP,3025
CH,Y,1288
U,KR,2276
F,SP,4260
T,PF,2364
PF,F,1700
P,G,1747
ST,P,5330
H,B,6539
F,KR,1432
LT,M,4682
ST,F,6291
E,C,21205
C,Q,896
C,R,12647
PF,T,4854
PF,H,2044
LT,H,6701
QU,O,3224
X,V,2920
LT,SP,1596
P,Y,4258
SP,ECK,1095
C,D,2015
PF,SCH,1808
K,D,3978
LT,R,6839
C,L,14788
CH,KR,2178
TZ,B,7217
B,V,2997
G,SCH,5247
X,N,811
R,QU,4959
W,N,3010
L,BL,3628
W,L,2963
SCH,ECK,1296
G,SP,4057
K,V,3602
A,KR,3755
M,TZ,885
TZ,A,4066
ST,Z,3816
TZ,O,2021
UE,SCH,1462
F,J,2192
H,ECK,1589
ST,K,4407
D,K,8793
T,ECK,1062
V,KR,674
UE,V,1127
K,C,838
NG,K,1900
CH,BL,2119
ST,SCH,2726
Z,S,3475
C,U,14006
W,D,1179
Z,G,4388
Z,SCH,3343
SCH,P,1177
Z,J,575
CH,P,3323
X,CH,508
W,R,2908
LT,T,1996
NG,G,2693
W,H,4087
K,Y,11256
LT,ST,1520
I,J,5428
T,BL,2465
N,X,830
ST,Y,1799
TZ,W,3256
Y,SCH,902
C,C,7700
V,K,1132
G,J,2075
W,Y,2072
ST,T,3708
LT,UE,1275
V,L,2253
C,KR,1931
Y,Z,2137
J,I,3806
K,ECK,493
X,K,1440
P,TZ,805
LT,P,2483
NG,H,4414
V,U,4002
L,SP,4648
SCH,CH,659
SCH,SP,809
P,CH,891
ST,BL,718
X,X,2847
V,H,520
I,KR,3747
V,P,1849
U,Y,2068
R,Q,424
LT,O,4214
D,KR,1623
O,ECK,2728
ST,KR,1400
P,B,1107
LT,Z,2976
X,SCH,389
Q,M,408
M,SP,2757
CH,QU,944
O,UE,901
QU,ECK,636
F,BL,1832
Z,N,1992
SP,F,3593
SCH,F,1704
X,Y,2806
NG,B,2431
UE,Z,567
H,NG,1376
B,KR,1172
T,J,3562
H,SCH,1110
SCH,K,5014
W,S,8566
PF,G,1029
B,C,703
PF,CH,868
F,V,2107
TZ,ST,1614
P,M,1754
TZ,K,4754
TZ,H,1489
M,J,1221
S,QU,3667
Y,W,389
U,J,2419
PF,UE,652
ECK,H,1213
C,Y,5097
L,C,3131
P,V,578
Y,B,1944
TZ,N,1492
PF,W,1091
X,C,623
V,S,1531
PF,K,624
TZ,CH,769
PF,B,1231
H,D,2115
A,QU,2150
Z,P,2767
C,B,739
V,N,1031
ECK,R,494
P,K,2446
SCH,B,3120
P,SCH,1173
M,CH,1689
V,V,1030
V,B,842
PF,S,797
LT,D,648
ST,PF,539
F,TZ,943
F,C,338
J,M,369
M,C,1763
SCH,D,585
PF,M,640
SCH,V,857
R,NG,1549
D,BL,551
H,H,1379
W,W,642
NG,V,1134
K,J,741
G,KR,855
ST,CH,471
P,N,2137
D,SP,2114
V,Y,809
LT,BL,471
H,G,2052
P,J,392
NG,P,723
PF,R,1109
LT,V,1577
C,Z,3267
LT,CH,504
N,QU,2395
ECK,ST,490
BL,N,196
Y,V,712
E,ECK,328
R,TZ,2347
N,PF,2891
T,C,648
PF,N,463
Y,F,519
Y,C,1520
M,V,2552
K,KR,883
ECK,B,1052
D,C,468
G,V,1461
PF,P,447
K,PF,570
W,M,413
H,K,1991
C,N,815
ECK,D,302
PF,Z,472
TZ,BL,565
ECK,V,361
D,TZ,166
W,K,780
TZ,F,1740
TZ,Z,490
ECK,O,255
X,ST,261
H,CH,376
C,P,727
NG,M,882
PF,KR,203
H,V,886
ECK,Z,260
Z,ST,2185
M,Q,171
CH,CH,239
Z,C,478
